Mean Score,Standard Deviation,Training Time
-33.790443,26.011467,4195.26583576202
-32.05996,32.268055,4180.50782465935
-68.535416,14.45968,4218.43200945854
-82.96831,43.62958,4169.28904080391
-37.56893,28.567207,4221.57060670853
