Mean Score,Standard Deviation,Training Time
816.20605,15.369907,5006.58829164505
313.27112,206.82678,4698.61094784737
167.63318,36.76423,4644.49786067009
431.1939,72.98867,4678.62998127937
294.7344,187.88304,4691.285
