Iteration,Learning Rate,Batch Size,Gamma,GAE Lambda,N_steps,Mean Score
582,0.00025,64,0.99,0.95,3800,31.3
583,0.00025,64,0.99,0.95,3977,38.66
584,0.00025,64,0.99,0.95,787,24.32
585,0.00025,64,0.99,0.95,3494,30.62
586,0.00025,64,0.99,0.95,1744,24.86
587,0.00025,64,0.99,0.95,1478,27.04
588,0.00025,64,0.99,0.95,1075,28.46
589,0.00025,64,0.99,0.95,3343,27.14
590,0.00025,64,0.99,0.95,714,26.26
591,0.00025,64,0.99,0.95,1974,27.34
592,0.00025,64,0.99,0.95,2514,32.16
593,0.00025,64,0.99,0.95,2358,29.66
594,0.00025,64,0.99,0.95,1279,27.66
595,0.00025,64,0.99,0.95,3831,29.22
596,0.00025,64,0.99,0.95,1944,26.3
597,0.00025,64,0.99,0.95,1520,29
598,0.00025,64,0.99,0.95,2155,26.22
599,0.00025,64,0.99,0.95,3847,30.5
600,0.00025,64,0.99,0.95,3380,30.92
601,0.00025,64,0.99,0.95,2710,27.38
602,0.00025,64,0.99,0.95,1080,24.5
603,0.00025,64,0.99,0.95,1254,23.48
604,0.00025,64,0.99,0.95,1884,29.78
605,0.00025,64,0.99,0.95,2828,27.62
606,0.00025,64,0.99,0.95,3347,29.86
607,0.00025,64,0.99,0.95,3049,28.12
608,0.00025,64,0.99,0.95,2401,25.98
609,0.00025,64,0.99,0.95,1078,32.24
610,0.00025,64,0.99,0.95,2741,30.18
611,0.00025,64,0.99,0.95,2256,24.7
612,0.00025,64,0.99,0.95,3982,31.84
613,0.00025,64,0.99,0.95,1874,27.88
614,0.00025,64,0.99,0.95,1916,26.24
615,0.00025,64,0.99,0.95,3039,29.76
616,0.00025,64,0.99,0.95,924,23.86
617,0.00025,64,0.99,0.95,1385,26.9
618,0.00025,64,0.99,0.95,666,24.86
619,0.00025,64,0.99,0.95,2392,28.88
620,0.00025,64,0.99,0.95,3138,34.24
621,0.00025,64,0.99,0.95,2898,31.46
622,0.00025,64,0.99,0.95,3732,33.32
623,0.00025,64,0.99,0.95,3968,33.06
624,0.00025,64,0.99,0.95,1208,22.58
625,0.00025,64,0.99,0.95,2554,28.54
626,0.00025,64,0.99,0.95,3947,33.04
627,0.00025,64,0.99,0.95,1882,24.34
628,0.00025,64,0.99,0.95,2815,27.4
629,0.00025,64,0.99,0.95,3579,26.7
630,0.00025,64,0.99,0.95,3635,25.82
631,0.00025,64,0.99,0.95,3849,30.54
632,0.00025,64,0.99,0.95,1135,30.04
633,0.00025,64,0.99,0.95,2882,27.68
634,0.00025,64,0.99,0.95,2965,27.6
635,0.00025,64,0.99,0.95,1906,31.42
636,0.00025,64,0.99,0.95,3273,36.18
637,0.00025,64,0.99,0.95,2956,26.46
638,0.00025,64,0.99,0.95,3883,31.12
639,0.00025,64,0.99,0.95,3100,28.62
640,0.00025,64,0.99,0.95,2132,31.08
641,0.00025,64,0.99,0.95,3249,33.52
642,0.00025,64,0.99,0.95,889,31.08
643,0.00025,64,0.99,0.95,3978,30.44
644,0.00025,64,0.99,0.95,1384,27.08
645,0.00025,64,0.99,0.95,2266,28.7
646,0.00025,64,0.99,0.95,1825,28.32
647,0.00025,64,0.99,0.95,1632,29.24
648,0.00025,64,0.99,0.95,810,27.88
649,0.00025,64,0.99,0.95,2415,27.38
650,0.00025,64,0.99,0.95,2480,33.18
651,0.00025,64,0.99,0.95,2704,25.94
652,0.00025,64,0.99,0.95,815,28.26
653,0.00025,64,0.99,0.95,3483,27.92
654,0.00025,64,0.99,0.95,3931,31
655,0.00025,64,0.99,0.95,884,25.28
656,0.00025,64,0.99,0.95,2485,31.34
657,0.00025,64,0.99,0.95,3180,34.2
658,0.00025,64,0.99,0.95,1272,27.72
659,0.00025,64,0.99,0.95,1015,26.16
660,0.00025,64,0.99,0.95,741,24.14
661,0.00025,64,0.99,0.95,1793,24.94
662,0.00025,64,0.99,0.95,1982,24.42
663,0.00025,64,0.99,0.95,3641,29.4
664,0.00025,64,0.99,0.95,2162,30.48
665,0.00025,64,0.99,0.95,965,24.54
666,0.00025,64,0.99,0.95,2766,25.36
667,0.00025,64,0.99,0.95,1954,25.72
668,0.00025,64,0.99,0.95,2988,32.28
669,0.00025,64,0.99,0.95,1859,28.76
670,0.00025,64,0.99,0.95,1124,31.46
671,0.00025,64,0.99,0.95,3570,30.22
672,0.00025,64,0.99,0.95,3401,30.02
673,0.00025,64,0.99,0.95,2435,28.16
674,0.00025,64,0.99,0.95,2461,32.32
675,0.00025,64,0.99,0.95,2708,33.46
676,0.00025,64,0.99,0.95,2638,26.04
677,0.00025,64,0.99,0.95,809,28.3
678,0.00025,64,0.99,0.95,1266,33.72
679,0.00025,64,0.99,0.95,3223,32.96
680,0.00025,64,0.99,0.95,3775,30.78
681,0.00025,64,0.99,0.95,803,25.08
682,0.00025,64,0.99,0.95,2027,24.5
683,0.00025,64,0.99,0.95,3377,31.12
684,0.00025,64,0.99,0.95,2080,30.78
685,0.00025,64,0.99,0.95,2529,25.46
686,0.00025,64,0.99,0.95,1534,27.92
687,0.00025,64,0.99,0.95,3700,31.42
688,0.00025,64,0.99,0.95,715,26.82
689,0.00025,64,0.99,0.95,3606,29.82
690,0.00025,64,0.99,0.95,2904,30
691,0.00025,64,0.99,0.95,2522,25.74
692,0.00025,64,0.99,0.95,801,27.24
693,0.00025,64,0.99,0.95,2083,27.38
694,0.00025,64,0.99,0.95,3614,31.36
695,0.00025,64,0.99,0.95,2918,32.64
696,0.00025,64,0.99,0.95,2679,32.18
697,0.00025,64,0.99,0.95,2046,26.84
698,0.00025,64,0.99,0.95,2593,33.54
699,0.00025,64,0.99,0.95,3319,29.16
700,0.00025,64,0.99,0.95,1167,28.46
701,0.00025,64,0.99,0.95,2540,25.28
702,0.00025,64,0.99,0.95,1345,25.72
703,0.00025,64,0.99,0.95,1269,26.62
704,0.00025,64,0.99,0.95,3807,27.86
705,0.00025,64,0.99,0.95,3942,29.76
706,0.00025,64,0.99,0.95,3612,31.8
707,0.00025,64,0.99,0.95,641,21.42
708,0.00025,64,0.99,0.95,2009,29.96
709,0.00025,64,0.99,0.95,850,28.1
710,0.00025,64,0.99,0.95,3264,27.8
711,0.00025,64,0.99,0.95,2305,23.5
712,0.00025,64,0.99,0.95,1121,29.82
713,0.00025,64,0.99,0.95,3475,34.6
714,0.00025,64,0.99,0.95,2256,28.94
715,0.00025,64,0.99,0.95,2260,28.84
716,0.00025,64,0.99,0.95,1926,24.92
717,0.00025,64,0.99,0.95,754,25.58
718,0.00025,64,0.99,0.95,2326,29.76
719,0.00025,64,0.99,0.95,2467,23.42
720,0.00025,64,0.99,0.95,3305,33.88
721,0.00025,64,0.99,0.95,2079,30.44
722,0.00025,64,0.99,0.95,2389,30.18
723,0.00025,64,0.99,0.95,3396,29.3
724,0.00025,64,0.99,0.95,2984,27.68
725,0.00025,64,0.99,0.95,2148,28.04
726,0.00025,64,0.99,0.95,730,28.38
727,0.00025,64,0.99,0.95,800,28.52
728,0.00025,64,0.99,0.95,2795,28.3
729,0.00025,64,0.99,0.95,2645,28
730,0.00025,64,0.99,0.95,2275,32.26
731,0.00025,64,0.99,0.95,3098,36.42
732,0.00025,64,0.99,0.95,3425,35.28
733,0.00025,64,0.99,0.95,2796,31.6
734,0.00025,64,0.99,0.95,1976,25.66
735,0.00025,64,0.99,0.95,3969,33.18
736,0.00025,64,0.99,0.95,1647,26.22
737,0.00025,64,0.99,0.95,1923,30.28
738,0.00025,64,0.99,0.95,655,28.56
739,0.00025,64,0.99,0.95,3625,27.7
740,0.00025,64,0.99,0.95,2956,32.2
741,0.00025,64,0.99,0.95,1484,24.88
742,0.00025,64,0.99,0.95,1495,29.2
743,0.00025,64,0.99,0.95,2224,31.56
744,0.00025,64,0.99,0.95,2154,31.16
745,0.00025,64,0.99,0.95,1945,26.78
746,0.00025,64,0.99,0.95,934,25.22
747,0.00025,64,0.99,0.95,1130,31.1
748,0.00025,64,0.99,0.95,1366,24.34
749,0.00025,64,0.99,0.95,662,31.94
750,0.00025,64,0.99,0.95,2621,26.98
751,0.00025,64,0.99,0.95,3927,32.06
752,0.00025,64,0.99,0.95,2376,30.08
753,0.00025,64,0.99,0.95,3548,34.5
754,0.00025,64,0.99,0.95,3284,32.78
755,0.00025,64,0.99,0.95,1428,26.76
756,0.00025,64,0.99,0.95,3661,27.58
757,0.00025,64,0.99,0.95,3930,30.54
758,0.00025,64,0.99,0.95,1298,26.28
759,0.00025,64,0.99,0.95,3045,33.32
760,0.00025,64,0.99,0.95,1502,24.9
761,0.00025,64,0.99,0.95,1802,30.1
762,0.00025,64,0.99,0.95,3861,32.28
763,0.00025,64,0.99,0.95,2492,29.04
764,0.00025,64,0.99,0.95,3065,26.94
765,0.00025,64,0.99,0.95,1529,26.04
766,0.00025,64,0.99,0.95,808,26.12
767,0.00025,64,0.99,0.95,3976,28.76
768,0.00025,64,0.99,0.95,3640,28.16
769,0.00025,64,0.99,0.95,824,26.08
770,0.00025,64,0.99,0.95,1923,33.22
771,0.00025,64,0.99,0.95,1750,31.2
772,0.00025,64,0.99,0.95,3157,35.34
773,0.00025,64,0.99,0.95,1399,26.22
774,0.00025,64,0.99,0.95,600,26.38
775,0.00025,64,0.99,0.95,1607,27.9
776,0.00025,64,0.99,0.95,2387,27.74
777,0.00025,64,0.99,0.95,3849,27.28
778,0.00025,64,0.99,0.95,2594,31.42
779,0.00025,64,0.99,0.95,1657,24.6
780,0.00025,64,0.99,0.95,3262,35.32
781,0.00025,64,0.99,0.95,3545,35.1
782,0.00025,64,0.99,0.95,3479,31.02
783,0.00025,64,0.99,0.95,1632,30.46
784,0.00025,64,0.99,0.95,1767,25.04
785,0.00025,64,0.99,0.95,2329,30.74
786,0.00025,64,0.99,0.95,636,27.02
787,0.00025,64,0.99,0.95,2149,22.52
788,0.00025,64,0.99,0.95,2349,30.44
789,0.00025,64,0.99,0.95,3982,31.86
790,0.00025,64,0.99,0.95,1283,28.84
791,0.00025,64,0.99,0.95,2047,25.12
792,0.00025,64,0.99,0.95,1300,26.34
793,0.00025,64,0.99,0.95,1172,26.56
794,0.00025,64,0.99,0.95,3093,31.7
795,0.00025,64,0.99,0.95,2498,30.58
796,0.00025,64,0.99,0.95,3609,32.34
797,0.00025,64,0.99,0.95,3923,31.72
798,0.00025,64,0.99,0.95,1975,30.3
799,0.00025,64,0.99,0.95,2262,28.1
800,0.00025,64,0.99,0.95,3560,26.82
801,0.00025,64,0.99,0.95,1247,28.4
802,0.00025,64,0.99,0.95,3739,28.58
803,0.00025,64,0.99,0.95,2710,28.16
804,0.00025,64,0.99,0.95,1452,31.12
805,0.00025,64,0.99,0.95,3777,32.54
806,0.00025,64,0.99,0.95,2874,29.52
807,0.00025,64,0.99,0.95,503,30.4
808,0.00025,64,0.99,0.95,765,25.3
809,0.00025,64,0.99,0.95,1492,27.16
810,0.00025,64,0.99,0.95,2259,26.92
811,0.00025,64,0.99,0.95,3116,35.28
812,0.00025,64,0.99,0.95,3448,33.92
813,0.00025,64,0.99,0.95,3632,29.12
814,0.00025,64,0.99,0.95,2540,26.8
815,0.00025,64,0.99,0.95,3548,30.02
816,0.00025,64,0.99,0.95,1001,24.68
817,0.00025,64,0.99,0.95,2350,28.56
818,0.00025,64,0.99,0.95,1025,27.32
819,0.00025,64,0.99,0.95,1230,27.12
820,0.00025,64,0.99,0.95,2379,26.44
821,0.00025,64,0.99,0.95,1454,28.18
822,0.00025,64,0.99,0.95,2163,26.52
823,0.00025,64,0.99,0.95,3663,32.56
824,0.00025,64,0.99,0.95,2056,28.06
825,0.00025,64,0.99,0.95,1474,25.06
826,0.00025,64,0.99,0.95,3220,31.72
827,0.00025,64,0.99,0.95,2927,31.52
828,0.00025,64,0.99,0.95,896,27.32
829,0.00025,64,0.99,0.95,3886,31.48
830,0.00025,64,0.99,0.95,3156,29.52
831,0.00025,64,0.99,0.95,1336,30.02
832,0.00025,64,0.99,0.95,3459,30.76
833,0.00025,64,0.99,0.95,2562,25
834,0.00025,64,0.99,0.95,968,29.48
835,0.00025,64,0.99,0.95,1386,26.1
836,0.00025,64,0.99,0.95,516,25.1
837,0.00025,64,0.99,0.95,3444,23.74
838,0.00025,64,0.99,0.95,2097,30.72
839,0.00025,64,0.99,0.95,1493,28.8
840,0.00025,64,0.99,0.95,2381,27.22
841,0.00025,64,0.99,0.95,3822,31
842,0.00025,64,0.99,0.95,3336,36.96
843,0.00025,64,0.99,0.95,1781,23.86
844,0.00025,64,0.99,0.95,3004,30.32
845,0.00025,64,0.99,0.95,1547,25
846,0.00025,64,0.99,0.95,559,25.64
847,0.00025,64,0.99,0.95,1688,29.38
848,0.00025,64,0.99,0.95,2333,27
849,0.00025,64,0.99,0.95,3489,29.18
850,0.00025,64,0.99,0.95,3727,33.16
851,0.00025,64,0.99,0.95,1857,25.16
852,0.00025,64,0.99,0.95,836,26.72
853,0.00025,64,0.99,0.95,1717,28.46
854,0.00025,64,0.99,0.95,1746,25.86
855,0.00025,64,0.99,0.95,1789,29
856,0.00025,64,0.99,0.95,676,26.56
857,0.00025,64,0.99,0.95,714,30.18
858,0.00025,64,0.99,0.95,1881,29.98
859,0.00025,64,0.99,0.95,1272,31.58
860,0.00025,64,0.99,0.95,1420,25.9
861,0.00025,64,0.99,0.95,3292,29.58
862,0.00025,64,0.99,0.95,2660,29.06
863,0.00025,64,0.99,0.95,1375,26.8
864,0.00025,64,0.99,0.95,1711,25.12
865,0.00025,64,0.99,0.95,2123,24.82
866,0.00025,64,0.99,0.95,2778,30.62
867,0.00025,64,0.99,0.95,3998,30.7
868,0.00025,64,0.99,0.95,2607,24.26
869,0.00025,64,0.99,0.95,1094,24.42
870,0.00025,64,0.99,0.95,3958,34.34
871,0.00025,64,0.99,0.95,3180,30.64
872,0.00025,64,0.99,0.95,3218,32.52
873,0.00025,64,0.99,0.95,3468,32.14
874,0.00025,64,0.99,0.95,690,27.76
875,0.00025,64,0.99,0.95,3867,29.68
876,0.00025,64,0.99,0.95,3734,30.9
877,0.00025,64,0.99,0.95,2059,26.06
878,0.00025,64,0.99,0.95,2023,24.46
879,0.00025,64,0.99,0.95,1317,27.4
880,0.00025,64,0.99,0.95,1872,26.32
881,0.00025,64,0.99,0.95,2997,26.28
882,0.00025,64,0.99,0.95,3487,31.46
883,0.00025,64,0.99,0.95,2228,32.12
884,0.00025,64,0.99,0.95,1668,27.32
885,0.00025,64,0.99,0.95,2392,27.02
886,0.00025,64,0.99,0.95,2965,28.82
887,0.00025,64,0.99,0.95,2596,26.08
888,0.00025,64,0.99,0.95,2399,23.76
889,0.00025,64,0.99,0.95,2535,29.6
890,0.00025,64,0.99,0.95,3611,30.14
891,0.00025,64,0.99,0.95,3512,30.48
892,0.00025,64,0.99,0.95,3683,26.6
893,0.00025,64,0.99,0.95,1406,29.9
894,0.00025,64,0.99,0.95,717,30.7
895,0.00025,64,0.99,0.95,3085,26.9
896,0.00025,64,0.99,0.95,3038,32.62
897,0.00025,64,0.99,0.95,2846,29.84
898,0.00025,64,0.99,0.95,3650,30.28
899,0.00025,64,0.99,0.95,3012,28.3
900,0.00025,64,0.99,0.95,1616,23.1
901,0.00025,64,0.99,0.95,3104,34.98
902,0.00025,64,0.99,0.95,512,26.48
903,0.00025,64,0.99,0.95,1482,25.26
904,0.00025,64,0.99,0.95,1376,26.78
905,0.00025,64,0.99,0.95,3407,36.5
906,0.00025,64,0.99,0.95,2021,29.36
907,0.00025,64,0.99,0.95,2919,31.74
908,0.00025,64,0.99,0.95,3257,29.48
909,0.00025,64,0.99,0.95,1331,26.7
910,0.00025,64,0.99,0.95,3771,28.38
911,0.00025,64,0.99,0.95,2934,31.7
912,0.00025,64,0.99,0.95,2981,31.26
913,0.00025,64,0.99,0.95,2384,29.2
914,0.00025,64,0.99,0.95,2015,28.52
915,0.00025,64,0.99,0.95,3648,30.48
916,0.00025,64,0.99,0.95,1848,27.04
917,0.00025,64,0.99,0.95,2517,26.58
918,0.00025,64,0.99,0.95,3502,25.24
919,0.00025,64,0.99,0.95,2484,30.8
920,0.00025,64,0.99,0.95,2487,24.48
921,0.00025,64,0.99,0.95,2504,33.36
922,0.00025,64,0.99,0.95,1121,25.76
923,0.00025,64,0.99,0.95,913,28.44
924,0.00025,64,0.99,0.95,3370,29.9
925,0.00025,64,0.99,0.95,2714,28.48
926,0.00025,64,0.99,0.95,2024,27.08
927,0.00025,64,0.99,0.95,1948,27.36
928,0.00025,64,0.99,0.95,648,23.78
929,0.00025,64,0.99,0.95,1682,28.54
930,0.00025,64,0.99,0.95,3729,36.2
931,0.00025,64,0.99,0.95,545,27.78
932,0.00025,64,0.99,0.95,1647,26.22
933,0.00025,64,0.99,0.95,3407,25.92
934,0.00025,64,0.99,0.95,3889,32.36
935,0.00025,64,0.99,0.95,1787,29.4
936,0.00025,64,0.99,0.95,2737,24.8
937,0.00025,64,0.99,0.95,2899,31.02
938,0.00025,64,0.99,0.95,2032,32.22
939,0.00025,64,0.99,0.95,1569,22.38
940,0.00025,64,0.99,0.95,2103,25.72
941,0.00025,64,0.99,0.95,1895,24.82
942,0.00025,64,0.99,0.95,1540,23.98
943,0.00025,64,0.99,0.95,3253,28.72
944,0.00025,64,0.99,0.95,986,25.5
945,0.00025,64,0.99,0.95,1638,26.96
946,0.00025,64,0.99,0.95,2863,26.96
947,0.00025,64,0.99,0.95,1728,28.1
948,0.00025,64,0.99,0.95,2487,28.42
949,0.00025,64,0.99,0.95,2199,27.8
950,0.00025,64,0.99,0.95,597,23.7
951,0.00025,64,0.99,0.95,1437,29.26
952,0.00025,64,0.99,0.95,687,24.48
953,0.00025,64,0.99,0.95,2630,33.12
954,0.00025,64,0.99,0.95,1404,25.54
955,0.00025,64,0.99,0.95,1306,23.86
956,0.00025,64,0.99,0.95,2206,30.86
957,0.00025,64,0.99,0.95,3033,27.96
958,0.00025,64,0.99,0.95,1116,27.38
959,0.00025,64,0.99,0.95,3187,32.88
960,0.00025,64,0.99,0.95,3904,31.72
961,0.00025,64,0.99,0.95,2171,29.22
962,0.00025,64,0.99,0.95,3967,34.08
963,0.00025,64,0.99,0.95,1651,29.42
964,0.00025,64,0.99,0.95,3339,29.06
965,0.00025,64,0.99,0.95,2189,28.2
966,0.00025,64,0.99,0.95,881,27.48
967,0.00025,64,0.99,0.95,3959,32.52
968,0.00025,64,0.99,0.95,1833,29.36
969,0.00025,64,0.99,0.95,2752,29.34
970,0.00025,64,0.99,0.95,1769,27.24
971,0.00025,64,0.99,0.95,1166,27.92
972,0.00025,64,0.99,0.95,1376,29.44
973,0.00025,64,0.99,0.95,2200,28.96
974,0.00025,64,0.99,0.95,2681,29.84
975,0.00025,64,0.99,0.95,3746,33.72
976,0.00025,64,0.99,0.95,3273,25.96
977,0.00025,64,0.99,0.95,2519,32.58
978,0.00025,64,0.99,0.95,3794,34.24
979,0.00025,64,0.99,0.95,3259,29.98
980,0.00025,64,0.99,0.95,2825,29.18
981,0.00025,64,0.99,0.95,1900,27.46
982,0.00025,64,0.99,0.95,3778,29.66
983,0.00025,64,0.99,0.95,3846,27.6
984,0.00025,64,0.99,0.95,2485,25.8
985,0.00025,64,0.99,0.95,3116,29.88
986,0.00025,64,0.99,0.95,1616,26.7
987,0.00025,64,0.99,0.95,842,26.38
988,0.00025,64,0.99,0.95,3605,40.26
989,0.00025,64,0.99,0.95,1537,24.64
990,0.00025,64,0.99,0.95,1676,28.26
991,0.00025,64,0.99,0.95,2642,25.64
992,0.00025,64,0.99,0.95,716,26.42
993,0.00025,64,0.99,0.95,945,29.8
994,0.00025,64,0.99,0.95,1218,23.34
995,0.00025,64,0.99,0.95,2749,27.64
996,0.00025,64,0.99,0.95,1445,26.46
997,0.00025,64,0.99,0.95,1106,23.36
998,0.00025,64,0.99,0.95,3956,34.38
999,0.00025,64,0.99,0.95,2665,27.26
1000,0.00025,64,0.99,0.95,3588,28
1001,0.00025,64,0.99,0.95,1223,25.38
1002,0.00025,64,0.99,0.95,1215,24.96
1003,0.00025,64,0.99,0.95,2199,28.38
1004,0.00025,64,0.99,0.95,3672,29
1005,0.00025,64,0.99,0.95,1747,27.38
1006,0.00025,64,0.99,0.95,3893,28.66
1007,0.00025,64,0.99,0.95,1451,26.06
1008,0.00025,64,0.99,0.95,3242,34.72
1009,0.00025,64,0.99,0.95,640,31.08
1010,0.00025,64,0.99,0.95,3120,28.08
1011,0.00025,64,0.99,0.95,940,24.34
1012,0.00025,64,0.99,0.95,1526,26.12
1013,0.00025,64,0.99,0.95,2494,30.68
1014,0.00025,64,0.99,0.95,2902,33.5
1015,0.00025,64,0.99,0.95,1669,31.56
1016,0.00025,64,0.99,0.95,1984,27.18
1017,0.00025,64,0.99,0.95,1529,27.86
1018,0.00025,64,0.99,0.95,674,27.24
1019,0.00025,64,0.99,0.95,3258,35.92
1020,0.00025,64,0.99,0.95,3461,31.3
1021,0.00025,64,0.99,0.95,671,25.46
1022,0.00025,64,0.99,0.95,578,24.48
1023,0.00025,64,0.99,0.95,2037,23.86
1024,0.00025,64,0.99,0.95,3684,33.62
1025,0.00025,64,0.99,0.95,2056,26.04
1026,0.00025,64,0.99,0.95,3330,28.46
1027,0.00025,64,0.99,0.95,3755,31.36
1028,0.00025,64,0.99,0.95,2361,27.04
1029,0.00025,64,0.99,0.95,3721,29.16
1030,0.00025,64,0.99,0.95,2134,28.32
1031,0.00025,64,0.99,0.95,3438,33.52
1032,0.00025,64,0.99,0.95,2197,27.78
1033,0.00025,64,0.99,0.95,1133,26.68
1034,0.00025,64,0.99,0.95,2719,32.24
1035,0.00025,64,0.99,0.95,982,25.54
1036,0.00025,64,0.99,0.95,613,26.02
1037,0.00025,64,0.99,0.95,887,29.74
1038,0.00025,64,0.99,0.95,2419,30.92
1039,0.00025,64,0.99,0.95,3846,35.06
1040,0.00025,64,0.99,0.95,2987,37.28
1041,0.00025,64,0.99,0.95,2920,29.32
1042,0.00025,64,0.99,0.95,3732,31.22
1043,0.00025,64,0.99,0.95,3851,30.84
1044,0.00025,64,0.99,0.95,3289,27.54
1045,0.00025,64,0.99,0.95,1883,22.42
1046,0.00025,64,0.99,0.95,1567,30.44
1047,0.00025,64,0.99,0.95,1625,25.64
1048,0.00025,64,0.99,0.95,787,25.98
1049,0.00025,64,0.99,0.95,2712,31.68
1050,0.00025,64,0.99,0.95,1222,25.92
1051,0.00025,64,0.99,0.95,2885,27.62
1052,0.00025,64,0.99,0.95,2750,35.9
1053,0.00025,64,0.99,0.95,3531,31.3
1054,0.00025,64,0.99,0.95,1740,24.28
1055,0.00025,64,0.99,0.95,1512,30.04
1056,0.00025,64,0.99,0.95,937,27.42
1057,0.00025,64,0.99,0.95,3714,30.3
1058,0.00025,64,0.99,0.95,1999,27.26
1059,0.00025,64,0.99,0.95,2377,31.56
1060,0.00025,64,0.99,0.95,1366,27.86
1061,0.00025,64,0.99,0.95,793,26.28
1062,0.00025,64,0.99,0.95,2284,25.5
1063,0.00025,64,0.99,0.95,1943,28.32
1064,0.00025,64,0.99,0.95,831,28.28
1065,0.00025,64,0.99,0.95,2984,36.2
1066,0.00025,64,0.99,0.95,2563,27.2
1067,0.00025,64,0.99,0.95,2335,24.36
1068,0.00025,64,0.99,0.95,3027,28.5
1069,0.00025,64,0.99,0.95,1636,24.66
1070,0.00025,64,0.99,0.95,616,28.66
1071,0.00025,64,0.99,0.95,1691,25.86
1072,0.00025,64,0.99,0.95,3610,29.24
1073,0.00025,64,0.99,0.95,1274,29.68
1074,0.00025,64,0.99,0.95,1707,28.46
1075,0.00025,64,0.99,0.95,2901,28.68
1076,0.00025,64,0.99,0.95,2465,28.96
1077,0.00025,64,0.99,0.95,3120,29.46
1078,0.00025,64,0.99,0.95,2273,25.36
1079,0.00025,64,0.99,0.95,1369,22.72
1080,0.00025,64,0.99,0.95,1350,28.22
1081,0.00025,64,0.99,0.95,1993,29.66
1082,0.00025,64,0.99,0.95,3509,29.34
1083,0.00025,64,0.99,0.95,2472,27.98
1084,0.00025,64,0.99,0.95,1523,28.7
1085,0.00025,64,0.99,0.95,3281,29.84
1086,0.00025,64,0.99,0.95,3690,39.92
1087,0.00025,64,0.99,0.95,1156,25.76
1088,0.00025,64,0.99,0.95,1673,28.32
1089,0.00025,64,0.99,0.95,1674,25.02
1090,0.00025,64,0.99,0.95,1746,28.64
1091,0.00025,64,0.99,0.95,2924,27.66
1092,0.00025,64,0.99,0.95,730,29.2
1093,0.00025,64,0.99,0.95,3897,30.3
1094,0.00025,64,0.99,0.95,3145,36.66
1095,0.00025,64,0.99,0.95,1309,26.8
1096,0.00025,64,0.99,0.95,3282,29.24
1097,0.00025,64,0.99,0.95,2972,24.12
1098,0.00025,64,0.99,0.95,3776,28.78
1099,0.00025,64,0.99,0.95,1150,27.72
1100,0.00025,64,0.99,0.95,1042,31.44
1101,0.00025,64,0.99,0.95,3033,24.06
1102,0.00025,64,0.99,0.95,2781,27.08
1103,0.00025,64,0.99,0.95,1404,25.8
1104,0.00025,64,0.99,0.95,2324,30.3
1105,0.00025,64,0.99,0.95,3887,32.72
1106,0.00025,64,0.99,0.95,1098,23.18
1107,0.00025,64,0.99,0.95,3390,25.24
1108,0.00025,64,0.99,0.95,3836,31.14
1109,0.00025,64,0.99,0.95,3956,30.66
1110,0.00025,64,0.99,0.95,2704,29.84
1111,0.00025,64,0.99,0.95,2864,28.88
1112,0.00025,64,0.99,0.95,3879,29.32
1113,0.00025,64,0.99,0.95,2662,24.8
1114,0.00025,64,0.99,0.95,1238,24.06
1115,0.00025,64,0.99,0.95,3725,30.84
1116,0.00025,64,0.99,0.95,2812,27.38
1117,0.00025,64,0.99,0.95,2960,26.36
1118,0.00025,64,0.99,0.95,2992,31.58
1119,0.00025,64,0.99,0.95,3503,32.28
1120,0.00025,64,0.99,0.95,1161,31.98
1121,0.00025,64,0.99,0.95,3933,37.26
1122,0.00025,64,0.99,0.95,1293,24.82
1123,0.00025,64,0.99,0.95,1890,29.92
1124,0.00025,64,0.99,0.95,3464,30.5
1125,0.00025,64,0.99,0.95,531,27.66
1126,0.00025,64,0.99,0.95,1642,27.02
1127,0.00025,64,0.99,0.95,3003,28.28
1128,0.00025,64,0.99,0.95,1717,27.86
1129,0.00025,64,0.99,0.95,2952,26.3
1130,0.00025,64,0.99,0.95,2862,29.42
1131,0.00025,64,0.99,0.95,1004,28.14
1132,0.00025,64,0.99,0.95,3026,31.16
1133,0.00025,64,0.99,0.95,1753,26.02
1134,0.00025,64,0.99,0.95,2062,29.52
1135,0.00025,64,0.99,0.95,2441,30.04
1136,0.00025,64,0.99,0.95,3709,34.92
1137,0.00025,64,0.99,0.95,1455,31.98
1138,0.00025,64,0.99,0.95,3685,28.5
1139,0.00025,64,0.99,0.95,2064,26.94
1140,0.00025,64,0.99,0.95,3376,32.68
1141,0.00025,64,0.99,0.95,2946,25.66
1142,0.00025,64,0.99,0.95,2394,31.08
1143,0.00025,64,0.99,0.95,1274,24.8
1144,0.00025,64,0.99,0.95,3875,33.28
1145,0.00025,64,0.99,0.95,3207,33.54
1146,0.00025,64,0.99,0.95,3498,28.3
1147,0.00025,64,0.99,0.95,1482,22.66
1148,0.00025,64,0.99,0.95,1001,23.64
1149,0.00025,64,0.99,0.95,2825,31.1
1150,0.00025,64,0.99,0.95,3394,31.06
1151,0.00025,64,0.99,0.95,2084,27.24
1152,0.00025,64,0.99,0.95,1544,27.8
1153,0.00025,64,0.99,0.95,2230,26.68
1154,0.00025,64,0.99,0.95,2053,28.74
1155,0.00025,64,0.99,0.95,3548,28.64
1156,0.00025,64,0.99,0.95,980,28.78
1157,0.00025,64,0.99,0.95,1588,27.58
1158,0.00025,64,0.99,0.95,3786,28.62
1159,0.00025,64,0.99,0.95,971,27.56
