Iteration,Learning Rate,Batch Size,Gamma,GAE Lambda,N_steps,Mean Score
133,0.00025,64,0.99,0.95,1934,29.62
134,0.00025,64,0.99,0.95,632,24.9
135,0.00025,64,0.99,0.95,803,29.96
136,0.00025,64,0.99,0.95,3306,34.92
137,0.00025,64,0.99,0.95,1306,30.8
138,0.00025,64,0.99,0.95,3333,32.02
139,0.00025,64,0.99,0.95,3179,33.06
140,0.00025,64,0.99,0.95,3659,32.56
141,0.00025,64,0.99,0.95,2627,30.4
142,0.00025,64,0.99,0.95,1703,27.08
143,0.00025,64,0.99,0.95,3448,30.58
144,0.00025,64,0.99,0.95,3767,31.7
145,0.00025,64,0.99,0.95,3112,28
146,0.00025,64,0.99,0.95,2432,24.04
147,0.00025,64,0.99,0.95,1421,26.56
148,0.00025,64,0.99,0.95,2747,29.3
149,0.00025,64,0.99,0.95,1860,22.46
150,0.00025,64,0.99,0.95,2531,31.86
151,0.00025,64,0.99,0.95,2220,32.7
152,0.00025,64,0.99,0.95,2438,32.8
153,0.00025,64,0.99,0.95,2247,31.14
154,0.00025,64,0.99,0.95,917,27.98
155,0.00025,64,0.99,0.95,2450,27.84
156,0.00025,64,0.99,0.95,1833,32.26
157,0.00025,64,0.99,0.95,3313,29.1
158,0.00025,64,0.99,0.95,1413,29.06
159,0.00025,64,0.99,0.95,1753,30.64
160,0.00025,64,0.99,0.95,2669,34.58
161,0.00025,64,0.99,0.95,1310,25.82
162,0.00025,64,0.99,0.95,2509,26.92
163,0.00025,64,0.99,0.95,1161,24.88
164,0.00025,64,0.99,0.95,2206,25.94
165,0.00025,64,0.99,0.95,3790,29.16
166,0.00025,64,0.99,0.95,718,28.26
167,0.00025,64,0.99,0.95,3971,36.94
168,0.00025,64,0.99,0.95,2575,28.84
169,0.00025,64,0.99,0.95,2125,28.12
170,0.00025,64,0.99,0.95,1800,25.72
171,0.00025,64,0.99,0.95,1805,27.26
172,0.00025,64,0.99,0.95,2740,28.86
173,0.00025,64,0.99,0.95,3241,32.04
174,0.00025,64,0.99,0.95,3032,24.4
175,0.00025,64,0.99,0.95,3573,31.2
176,0.00025,64,0.99,0.95,2067,27.88
177,0.00025,64,0.99,0.95,534,23.04
178,0.00025,64,0.99,0.95,3052,25.78
179,0.00025,64,0.99,0.95,1454,28.16
180,0.00025,64,0.99,0.95,940,25.9
181,0.00025,64,0.99,0.95,3018,35.2
182,0.00025,64,0.99,0.95,1266,29.24
183,0.00025,64,0.99,0.95,2206,24.68
184,0.00025,64,0.99,0.95,2453,31.16
185,0.00025,64,0.99,0.95,3816,28.48
186,0.00025,64,0.99,0.95,3472,33.74
187,0.00025,64,0.99,0.95,1162,28.22
188,0.00025,64,0.99,0.95,2641,33.38
189,0.00025,64,0.99,0.95,1861,25.86
190,0.00025,64,0.99,0.95,2355,26
191,0.00025,64,0.99,0.95,542,23.54
192,0.00025,64,0.99,0.95,1424,28.88
193,0.00025,64,0.99,0.95,2561,28.14
194,0.00025,64,0.99,0.95,2409,28.88
195,0.00025,64,0.99,0.95,618,27.12
196,0.00025,64,0.99,0.95,3988,35.04
197,0.00025,64,0.99,0.95,959,28.4
198,0.00025,64,0.99,0.95,1663,26.78
199,0.00025,64,0.99,0.95,2509,29.62
200,0.00025,64,0.99,0.95,1333,27.8
201,0.00025,64,0.99,0.95,900,29.52
202,0.00025,64,0.99,0.95,589,23.96
203,0.00025,64,0.99,0.95,3895,31.66
204,0.00025,64,0.99,0.95,3822,33.18
205,0.00025,64,0.99,0.95,2841,31.96
206,0.00025,64,0.99,0.95,631,28.8
207,0.00025,64,0.99,0.95,676,30.84
208,0.00025,64,0.99,0.95,555,24.98
209,0.00025,64,0.99,0.95,2280,27.98
210,0.00025,64,0.99,0.95,2112,32.24
211,0.00025,64,0.99,0.95,2822,29.5
212,0.00025,64,0.99,0.95,3934,28.52
213,0.00025,64,0.99,0.95,2352,26.8
214,0.00025,64,0.99,0.95,3308,28.98
215,0.00025,64,0.99,0.95,2509,26.72
216,0.00025,64,0.99,0.95,3833,33.38
217,0.00025,64,0.99,0.95,2717,24.06
218,0.00025,64,0.99,0.95,974,26.64
219,0.00025,64,0.99,0.95,3368,28.58
220,0.00025,64,0.99,0.95,1455,28.06
221,0.00025,64,0.99,0.95,2945,26.94
222,0.00025,64,0.99,0.95,1674,27.04
223,0.00025,64,0.99,0.95,615,30.26
224,0.00025,64,0.99,0.95,2963,27.52
225,0.00025,64,0.99,0.95,2109,29.28
226,0.00025,64,0.99,0.95,2784,30.54
227,0.00025,64,0.99,0.95,3473,37
228,0.00025,64,0.99,0.95,628,32.16
229,0.00025,64,0.99,0.95,2322,27.42
230,0.00025,64,0.99,0.95,2478,31.74
231,0.00025,64,0.99,0.95,2281,31.78
232,0.00025,64,0.99,0.95,2307,31.04
233,0.00025,64,0.99,0.95,2965,26.74
234,0.00025,64,0.99,0.95,3902,28
235,0.00025,64,0.99,0.95,3269,33.08
236,0.00025,64,0.99,0.95,2159,25.34
237,0.00025,64,0.99,0.95,1252,26.14
238,0.00025,64,0.99,0.95,2782,31.52
239,0.00025,64,0.99,0.95,1071,27.72
240,0.00025,64,0.99,0.95,1355,30.08
241,0.00025,64,0.99,0.95,2326,26.14
242,0.00025,64,0.99,0.95,3894,29.6
243,0.00025,64,0.99,0.95,1535,27.62
244,0.00025,64,0.99,0.95,3714,29.38
245,0.00025,64,0.99,0.95,3254,29.44
246,0.00025,64,0.99,0.95,2775,28.06
247,0.00025,64,0.99,0.95,2168,29.14
248,0.00025,64,0.99,0.95,1661,25.36
249,0.00025,64,0.99,0.95,3689,30.76
250,0.00025,64,0.99,0.95,932,26.24
251,0.00025,64,0.99,0.95,965,28.06
252,0.00025,64,0.99,0.95,1623,26.6
253,0.00025,64,0.99,0.95,2308,27.36
254,0.00025,64,0.99,0.95,672,28.72
255,0.00025,64,0.99,0.95,1796,30.58
256,0.00025,64,0.99,0.95,548,25.26
257,0.00025,64,0.99,0.95,3284,30.92
258,0.00025,64,0.99,0.95,3576,28.58
259,0.00025,64,0.99,0.95,1657,27.92
260,0.00025,64,0.99,0.95,3588,27.42
261,0.00025,64,0.99,0.95,574,32.88
262,0.00025,64,0.99,0.95,2213,31.9
263,0.00025,64,0.99,0.95,3296,32.58
264,0.00025,64,0.99,0.95,3508,32.16
265,0.00025,64,0.99,0.95,2758,28.14
266,0.00025,64,0.99,0.95,3441,33.04
267,0.00025,64,0.99,0.95,3026,31.74
268,0.00025,64,0.99,0.95,1855,33.86
269,0.00025,64,0.99,0.95,3564,35.34
270,0.00025,64,0.99,0.95,1857,27.62
271,0.00025,64,0.99,0.95,645,25.74
272,0.00025,64,0.99,0.95,1691,29.74
273,0.00025,64,0.99,0.95,1636,28.16
274,0.00025,64,0.99,0.95,3604,34.6
275,0.00025,64,0.99,0.95,1084,26.66
276,0.00025,64,0.99,0.95,629,27.18
277,0.00025,64,0.99,0.95,3013,26.64
278,0.00025,64,0.99,0.95,3879,27.94
279,0.00025,64,0.99,0.95,2656,29.88
280,0.00025,64,0.99,0.95,1205,28.4
