Episode:201 Score:[111.19209]
Episode:202 Score:[120.101746]
Episode:203 Score:[213.976]
Episode:204 Score:[344.7444]
Episode:205 Score:[148.36685]
Episode:206 Score:[148.42218]
Episode:207 Score:[148.09406]
Episode:208 Score:[129.43799]
Episode:209 Score:[138.74135]
Episode:210 Score:[176.67397]
Episode:211 Score:[175.96426]
Episode:212 Score:[148.46078]
Episode:213 Score:[129.90518]
Episode:214 Score:[138.80215]
Episode:215 Score:[175.94011]
Episode:216 Score:[176.25476]
Episode:217 Score:[157.80092]
Episode:218 Score:[167.27827]
Episode:219 Score:[101.27682]
Episode:220 Score:[92.380356]
Episode:221 Score:[176.24135]
Episode:222 Score:[288.20386]
Episode:223 Score:[232.41736]
Episode:224 Score:[110.64232]
Episode:225 Score:[157.67287]
Episode:226 Score:[110.838974]
Episode:227 Score:[213.76486]
Episode:228 Score:[110.81683]
Episode:229 Score:[120.174774]
Episode:230 Score:[269.85165]
Episode:231 Score:[139.04385]
Episode:232 Score:[195.02222]
Episode:233 Score:[101.67319]
Episode:234 Score:[129.5114]
Episode:235 Score:[110.98478]
Episode:236 Score:[185.7867]
Episode:237 Score:[129.65244]
Episode:238 Score:[92.41605]
Episode:239 Score:[101.70891]
Episode:240 Score:[129.82312]
Episode:241 Score:[176.4656]
Episode:242 Score:[148.12276]
Episode:243 Score:[138.76395]
Episode:244 Score:[129.61635]
Episode:245 Score:[166.71904]
Episode:246 Score:[157.81113]
Episode:247 Score:[110.70198]
Episode:248 Score:[148.55647]
Episode:249 Score:[129.36961]
Episode:250 Score:[176.41847]
Episode:251 Score:[120.29228]
Episode:252 Score:[139.1498]
Episode:253 Score:[120.43828]
Episode:254 Score:[110.91487]
Episode:255 Score:[166.87392]
Episode:256 Score:[111.273796]
Episode:257 Score:[139.0827]
Episode:258 Score:[158.02649]
Episode:259 Score:[110.5929]
Episode:260 Score:[250.71255]
Episode:261 Score:[120.418144]
Episode:262 Score:[110.76103]
