Environment,Episodes of training,Algorithm Name,Training time,Mean Score,Standard Deviation,Score adjusted,training time * wattage,kilowatt hours
Car Racing,10000.0,DQN,,,,,,
Car Racing,20000.0,PPO,179.612,-75.62235,4.157644,,336726.35094175005,0.09353509748381945
Car Racing,20000.0,TD3,,,,,,
Car Racing,20000.0,DDPG,,,,,,
Car Racing,20000.0,A2C,155.797,-82.035675,0.61675817,,266468.1043641945,0.07401891787894292
Car Racing,20000.0,SAC,,,,,,
Car Racing,20000.0,DQN,,,,,,
Car Racing,50000.0,PPO,417.75,-26.558294,36.477592,,783173.914359375,0.21754830954427085
Car Racing,50000.0,TD3,,,,,,
Car Racing,50000.0,DDPG,,,,,,
Car Racing,50000.0,A2C,465.695,-77.37423,2.4012325,,796503.5518134723,0.22125098661485343
Car Racing,50000.0,SAC,,,,,,
Car Racing,50000.0,DQN,,,,,,
Car Racing,100000.0,PPO,853.078,-66.30667,68.93006,,1599302.0622713752,0.4442505728531598
Car Racing,100000.0,TD3,,,,,,
Car Racing,100000.0,DDPG,,,,,,
Car Racing,100000.0,A2C,880.462,-84.60599,2.2552202,,1505902.168236278,0.4183061578434106
Car Racing,100000.0,SAC,,,,,,
Car Racing,100000.0,DQN,,,,,,
Car Racing,500000.0,PPO,4401.912,-41.559452,27.394087,,8252453.983735501,2.2923483288154167
Car Racing,500000.0,TD3,,,,,,
Car Racing,500000.0,DDPG,,,,,,
Car Racing,500000.0,A2C,4773.544,-93.623215,0.25353688,,8164452.593946446,2.267903498318457
Car Racing,500000.0,SAC,,,,,,
Car Racing,500000.0,DQN,,,,,,
Car Racing,1000000.0,PPO,8698.89,-44.29207,20.08010574,,16308183.678950625,4.530051021930729
Car Racing,1000000.0,TD3,,,,,,
Car Racing,1000000.0,DDPG,,,,,,
Car Racing,1000000.0,A2C,11102.544,-82.86228,1.2817516,,18989286.400252003,5.274801777847778
Car Racing,1000000.0,SAC,,,,,,
Car Racing,1000000.0,DQN,,,,,,
,,,,,,,,
Lunar Lander,10000.0,PPO,8.575,-96.049,22.385157,,16075.921760937501,0.004465533822482639
Lunar Lander,10000.0,TD3,,,,,,
Lunar Lander,10000.0,DDPG,,,,,,
Lunar Lander,10000.0,A2C,12.642,-126.12459,106.97699,,21622.301940166668,0.00600619498337963
Lunar Lander,10000.0,SAC,,,,,,
Lunar Lander,10000.0,DQN,1.929,-94.59855,60.399483,,3287.77989785776,0.0009132721938493778
Lunar Lander,20000.0,PPO,17.099,-96.45811,64.91653,,32056.231625687502,0.008904508784913195
Lunar Lander,20000.0,TD3,,,,,,
Lunar Lander,20000.0,DDPG,,,,,,
Lunar Lander,20000.0,A2C,28.725,27.451954,46.3566,,49129.933810416675,0.013647203836226853
Lunar Lander,20000.0,SAC,,,,,,
Lunar Lander,20000.0,DQN,3.84,-188.00085,87.888596,,6544.880667586209,0.0018180224076628359
Lunar Lander,50000.0,PPO,43.935,-109.666016,91.20218,,82366.83645093751,0.022879676791927085
Lunar Lander,50000.0,TD3,,,,,,
Lunar Lander,50000.0,DDPG,,,,,,
Lunar Lander,50000.0,A2C,59.419,-12.912621,51.653828,,101627.55568602779,0.028229876579452164
Lunar Lander,50000.0,SAC,,,,,,
Lunar Lander,50000.0,DQN,10.312,-574.57825,178.02576,,17575.731626080462,0.004882147673911239
