learning_rate,n_steps,batch_size,gamma,gae_lambda,clip_range,ent_coef,epsilon,mean_reward
0.99,16,16,0.9,0.95,0.1,0.0,1e-05,9.2
0.99,16,16,0.9,0.95,0.1,0.0,1e-06,9.1
0.99,16,16,0.9,0.95,0.1,0.0,1e-07,9.4
0.99,16,16,0.9,0.95,0.1,0.1,1e-05,9.3
0.99,16,16,0.9,0.95,0.1,0.1,1e-06,9.4
0.99,16,16,0.9,0.95,0.1,0.1,1e-07,9.2
0.99,16,16,0.9,0.95,0.1,0.01,1e-05,9.2
0.99,16,16,0.9,0.95,0.1,0.01,1e-06,9.3
0.99,16,16,0.9,0.95,0.1,0.01,1e-07,9.3
0.99,16,16,0.9,0.95,0.1,0.001,1e-05,9.2
0.99,16,16,0.9,0.95,0.1,0.001,1e-06,9.7
0.99,16,16,0.9,0.95,0.1,0.001,1e-07,8.9
0.99,16,16,0.9,0.95,0.2,0.0,1e-05,9.0
0.99,16,16,0.9,0.95,0.2,0.0,1e-06,9.2
0.99,16,16,0.9,0.95,0.2,0.0,1e-07,25.2
0.99,16,16,0.9,0.95,0.2,0.1,1e-05,20.5
0.99,16,16,0.9,0.95,0.2,0.1,1e-06,9.5
0.99,16,16,0.9,0.95,0.2,0.1,1e-07,8.9
0.99,16,16,0.9,0.95,0.2,0.01,1e-05,9.7
0.99,16,16,0.9,0.95,0.2,0.01,1e-06,9.6
0.99,16,16,0.9,0.95,0.2,0.01,1e-07,9.0
0.99,16,16,0.9,0.95,0.2,0.001,1e-05,9.2
0.99,16,16,0.9,0.95,0.2,0.001,1e-06,9.6
0.99,16,16,0.9,0.95,0.2,0.001,1e-07,9.7
0.99,16,16,0.9,0.95,0.3,0.0,1e-05,10.0
0.99,16,16,0.9,0.95,0.3,0.0,1e-06,9.4
0.99,16,16,0.9,0.95,0.3,0.0,1e-07,9.2
0.99,16,16,0.9,0.95,0.3,0.1,1e-05,9.1
0.99,16,16,0.9,0.95,0.3,0.1,1e-06,9.8
0.99,16,16,0.9,0.95,0.3,0.1,1e-07,9.3
0.99,16,16,0.9,0.95,0.3,0.01,1e-05,9.5
0.99,16,16,0.9,0.95,0.3,0.01,1e-06,9.3
0.99,16,16,0.9,0.95,0.3,0.01,1e-07,9.0
0.99,16,16,0.9,0.95,0.3,0.001,1e-05,9.7
0.99,16,16,0.9,0.95,0.3,0.001,1e-06,9.1
0.99,16,16,0.9,0.95,0.3,0.001,1e-07,9.5
0.99,16,16,0.9,0.95,0.4,0.0,1e-05,8.9
0.99,16,16,0.9,0.95,0.4,0.0,1e-06,9.6
0.99,16,16,0.9,0.95,0.4,0.0,1e-07,9.5
0.99,16,16,0.9,0.95,0.4,0.1,1e-05,9.7
0.99,16,16,0.9,0.95,0.4,0.1,1e-06,9.4
0.99,16,16,0.9,0.95,0.4,0.1,1e-07,9.2
0.99,16,16,0.9,0.95,0.4,0.01,1e-05,9.4
0.99,16,16,0.9,0.95,0.4,0.01,1e-06,9.0
0.99,16,16,0.9,0.95,0.4,0.01,1e-07,9.1
0.99,16,16,0.9,0.95,0.4,0.001,1e-05,9.0
0.99,16,16,0.9,0.95,0.4,0.001,1e-06,9.4
0.99,16,16,0.9,0.95,0.4,0.001,1e-07,9.2
0.99,16,16,0.9,0.95,0.5,0.0,1e-05,20.2
0.99,16,16,0.9,0.95,0.5,0.0,1e-06,9.6
0.99,16,16,0.9,0.95,0.5,0.0,1e-07,9.1
0.99,16,16,0.9,0.95,0.5,0.1,1e-05,9.4
0.99,16,16,0.9,0.95,0.5,0.1,1e-06,9.2
0.99,16,16,0.9,0.95,0.5,0.1,1e-07,9.5
0.99,16,16,0.9,0.95,0.5,0.01,1e-05,8.9
0.99,16,16,0.9,0.95,0.5,0.01,1e-06,9.3
0.99,16,16,0.9,0.95,0.5,0.01,1e-07,15.9
0.99,16,16,0.9,0.95,0.5,0.001,1e-05,9.8
0.99,16,16,0.9,0.95,0.5,0.001,1e-06,9.8
0.99,16,16,0.9,0.95,0.5,0.001,1e-07,9.6
0.99,16,16,0.9,0.9,0.1,0.0,1e-05,9.5
0.99,16,16,0.9,0.9,0.1,0.0,1e-06,9.8
0.99,16,16,0.9,0.9,0.1,0.0,1e-07,8.8
0.99,16,16,0.9,0.9,0.1,0.1,1e-05,9.6
0.99,16,16,0.9,0.9,0.1,0.1,1e-06,9.3
0.99,16,16,0.9,0.9,0.1,0.1,1e-07,9.5
0.99,16,16,0.9,0.9,0.1,0.01,1e-05,9.2
0.99,16,16,0.9,0.9,0.1,0.01,1e-06,9.5
0.99,16,16,0.9,0.9,0.1,0.01,1e-07,9.4
0.99,16,16,0.9,0.9,0.1,0.001,1e-05,9.3
0.99,16,16,0.9,0.9,0.1,0.001,1e-06,9.3
learning_rate,n_steps,batch_size,gamma,gae_lambda,clip_range,ent_coef,epsilon,mean_reward
learning_rate,n_steps,batch_size,gamma,gae_lambda,clip_range,ent_coef,epsilon,mean_reward,training_time
0.99,512,64,0.9,0.95,0.1,0.0,1e-05,9.3,4.497206687927246
0.99,512,64,0.9,0.95,0.1,0.0,1e-06,9.0,4.506678104400635
0.99,512,64,0.9,0.95,0.1,0.0,1e-07,9.1,4.19880223274231
0.99,512,64,0.9,0.95,0.1,0.1,1e-05,9.5,4.156584739685059
0.99,512,64,0.9,0.95,0.1,0.1,1e-06,9.6,4.1716179847717285
0.99,512,64,0.9,0.95,0.1,0.1,1e-07,9.1,4.16744327545166
0.99,512,64,0.9,0.95,0.1,0.01,1e-05,9.6,4.14922571182251
0.99,512,64,0.9,0.95,0.1,0.01,1e-06,9.3,4.141652584075928
0.99,512,64,0.9,0.95,0.1,0.01,1e-07,9.6,4.166991949081421
0.99,512,64,0.9,0.95,0.1,0.001,1e-05,9.0,4.143266916275024
0.99,512,64,0.9,0.95,0.1,0.001,1e-06,9.7,4.138180494308472
0.99,512,64,0.9,0.95,0.1,0.001,1e-07,9.1,4.353049993515015
