Learning Rate,N_steps,Batch Size,Gamma,gae_lambda,Clip Range,ent_coef,epsilon,Mean Score,training_time,standard deviation
0.99,512,64,0.9,0.9,0.1,0.01,1E-05,9.7,8.33221387863159,0.781024967590666
0.99,512,64,0.9,0.9,0.1,0.01,1E-06,9.9,8.72069215774536,0.94339811320566
0.99,512,64,0.9,0.9,0.1,0.01,1E-07,9.5,8.25434732437134,0.806225774829855
0.99,512,64,0.9,0.9,0.1,0.001,1E-05,9.5,8.15215253829956,0.806225774829855
0.99,512,64,0.9,0.9,0.1,0.001,1E-06,9.3,8.89601993560791,0.640312423743285
0.99,512,64,0.9,0.9,0.1,0.001,1E-07,15.3,8.67492699623108,2.45153013442625
0.99,512,64,0.9,0.9,0.2,0,1E-05,9.2,8.47921967506409,0.748331477354788
0.99,512,64,0.9,0.9,0.2,0,1E-06,9.3,8.79055166244507,0.781024967590666
0.99,512,64,0.9,0.9,0.2,0,1E-07,9.5,7.92174863815308,0.670820393249937
0.99,512,64,0.9,0.9,0.2,0.1,1E-05,9.6,8.43233323097229,0.66332495807108
0.99,512,64,0.9,0.9,0.2,0.1,1E-06,9.9,8.43074202537537,0.830662386291808
0.99,512,64,0.9,0.9,0.2,0.1,1E-07,9.5,8.04585742950439,0.5
0.99,512,64,0.9,0.9,0.2,0.01,1E-05,9.7,8.22171974182129,0.640312423743285
0.99,512,64,0.9,0.9,0.2,0.01,1E-06,9.4,8.35770773887634,0.66332495807108
0.99,512,64,0.9,0.9,0.2,0.01,1E-07,9.5,8.67207789421082,0.806225774829855
0.99,512,64,0.9,0.9,0.2,0.001,1E-05,9.1,8.46073436737061,0.7
0.99,512,64,0.9,0.9,0.2,0.001,1E-06,9.4,8.36865592002869,0.916515138991168
0.99,512,64,0.9,0.9,0.2,0.001,1E-07,8.7,8.6599907875061,0.640312423743285
0.99,512,64,0.9,0.9,0.3,0,1E-05,9.3,8.49384665489197,0.781024967590666
0.99,512,64,0.9,0.9,0.3,0,1E-06,9.4,8.4544849395752,0.66332495807108
0.99,512,64,0.9,0.9,0.3,0,1E-07,9.2,8.45198345184326,0.6
0.99,512,64,0.9,0.9,0.3,0.1,1E-05,9.3,8.3593475818634,0.640312423743285
0.99,512,64,0.9,0.9,0.3,0.1,1E-06,9.5,8.37139391899109,0.806225774829855
0.99,512,64,0.9,0.9,0.3,0.1,1E-07,9.4,8.81349539756775,0.8
0.99,512,64,0.9,0.9,0.3,0.01,1E-05,9.1,8.4896731376648,0.53851648071345
0.99,512,64,0.9,0.9,0.3,0.01,1E-06,9.8,8.33651661872864,0.6
0.99,512,64,0.9,0.9,0.3,0.01,1E-07,9,8.25893378257751,0.774596669241483
0.99,512,64,0.9,0.9,0.3,0.001,1E-05,9.2,8.58562684059143,0.6
0.99,512,64,0.9,0.9,0.3,0.001,1E-06,9.5,8.42045426368713,0.670820393249937
0.99,512,64,0.9,0.9,0.3,0.001,1E-07,9.7,8.57390189170837,0.9
0.99,512,64,0.9,0.9,0.4,0,1E-05,9.5,8.56080341339111,0.806225774829855
0.99,512,64,0.9,0.9,0.4,0,1E-06,8.9,8.21735429763794,0.7
0.99,512,64,0.9,0.9,0.4,0,1E-07,9.3,8.47767615318298,0.9
0.99,512,64,0.9,0.9,0.4,0.1,1E-05,9.6,8.779381275177,0.489897948556636
0.99,512,64,0.9,0.9,0.4,0.1,1E-06,9.4,8.46502184867859,0.66332495807108
0.99,512,64,0.9,0.9,0.4,0.1,1E-07,9.3,8.69650554656982,1.00498756211209
